species,family,locomotion,hunting,locomotion2,locomotion3,,diet,prey_size,graham,diet_functional
Nandinia_binotata,01Nandiniidae,arboreal,occasional,arboreal,arboreal,arboreal,herbivore,herbivore,mesocarnivore,soft
Prionodon_linsang,02Prionodontidae,semi_arboreal,ambush,arboreal,arboreal,arboreal,carnivore,carn_small,cat-hyper,vert_flesh
Acinonyx_jubatus,03Felidae,terrestrial,pursuit,cursorial,cursorial,cursorial,carnivore,carn_medium,cat-hyper,vert_flesh
Caracal_aurata,03Felidae,terrestrial,pounce,terrestrial,terrestrial_hunt,,carnivore,carn_small,cat-hyper,vert_flesh
Caracal_caracal,03Felidae,semi_arboreal,pounce,semi_arboreal,scansorial,,carnivore,carn_small,cat-hyper,vert_flesh
Catopuma_temminckii,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,,carnivore,carn_medium,cat-hyper,vert_flesh
Felis_chaus,03Felidae,semi_arboreal,ambush,semi_arboreal,scansorial,,carnivore,carn_small,cat-hyper,vert_flesh
Felis_lybica,03Felidae,semi_arboreal,ambush,semi_arboreal,scansorial,scansorial,carnivore,carn_small,cat-hyper,vert_flesh
Felis_margarita,03Felidae,semi_fossorial,ambush,semi_fossorial,semi_fossorial,,carnivore,carn_small,cat-hyper,vert_flesh
Felis_nigripes,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,,carnivore,carn_small,cat-hyper,vert_flesh
Felis_silvestris,03Felidae,semi_arboreal,ambush,semi_arboreal,scansorial,,carnivore,carn_small,cat-hyper,vert_flesh
Herpailurus_yagouaroundi,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,,carnivore,carn_small,cat-hyper,vert_flesh
Leopardus_colocolo,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,,carnivore,carn_small,cat-hyper,vert_flesh
Leopardus_geoffroyi,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,,carnivore,carn_small,cat-hyper,vert_flesh
Leopardus_pardalis,03Felidae,semi_arboreal,ambush,semi_arboreal,scansorial,,carnivore,carn_small,cat-hyper,vert_flesh
Leopardus_tigrinus,03Felidae,semi_arboreal,pounce,semi_arboreal,scansorial,,carnivore,carn_large,cat-hyper,vert_flesh
Leopardus_wiedii,03Felidae,semi_arboreal,pounce,arboreal,arboreal,arboreal,carnivore,carn_small,cat-hyper,vert_flesh
Leptailurus_serval,03Felidae,semi_arboreal,pounce,terrestrial,terrestrial_hunt,terrestrial,carnivore,carn_small,cat-hyper,vert_flesh
Lynx_canadensis,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,terrestrial,carnivore,carn_small,cat-hyper,vert_flesh
Lynx_lynx,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,,carnivore,carn_medium,cat-hyper,vert_flesh
Lynx_pardinus,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,,carnivore,carn_small,cat-hyper,vert_flesh
Lynx_rufus,03Felidae,terrestrial,ambush,semi_arboreal,scansorial,scansorial,carnivore,carn_small,cat-hyper,vert_flesh
Neofelis_nebulosa,03Felidae,semi_arboreal,ambush,arboreal,arboreal,arboreal,carnivore,carn_large,cat-hyper,vert_flesh
Otocolobus_manul,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,terrestrial,carnivore,carn_small,cat-hyper,vert_flesh
Panthera_leo,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,terrestrial,carnivore,carn_large,cat-hyper,vert_flesh
Panthera_onca,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,,carnivore,carn_medium,cat-hyper,vert_flesh
Panthera_pardus,03Felidae,semi_arboreal,ambush,semi_arboreal,scansorial,,carnivore,carn_large,cat-hyper,vert_flesh
Panthera_tigris,03Felidae,terrestrial,ambush,terrestrial,terrestrial_hunt,,carnivore,carn_large,cat-hyper,vert_flesh
Panthera_uncia,03Felidae,terrestrial,ambush,semi_arboreal,scansorial,scansorial,carnivore,carn_large,cat-hyper,vert_flesh
Pardofelis_badia,03Felidae,semi_arboreal,ambush,semi_arboreal,scansorial,,carnivore,carn_small,cat-hyper,vert_flesh
