family,species,,sex,catalog,notes,geomean,CBL,POC,ZB,MB,AFH,PFH,CVH,PW,BCL,cran_MRL,cran_LPL,cran_LPW,MAT,MAM,MAM2,MOL,COL,MW,AMW,man_MRL,man_M1L,man_M1W,C3_VW,C3_VH,C3_CL,C3_CW,C3_CH,C3_ZL,C3_LW,C3_NSH,C3_TPDV,C3_PZA,C3_NSA,C3_TPAP,C3_lSMA,C3_sSMA,C3_JTA,C3_JV,C5_VW,C5_VH,C5_CL,C5_CW,C5_CH,C5_ZL,C5_LW,C5_NSH,C5_TPDV,C5_PZA,C5_NSA,C5_TPAP,C5_lSMA,C5_sSMA,C5_JTA,C5_JV,T1_VW,T1_VH,T1_CL,T1_CW,T1_CH,T1_ZL,T1_LW,T1_NSH,T1_TPDV,T1_PZA,T1_NSA,T1_TPAP,T1_lSMA,T1_sSMA,T1_JTA,T1_JV,midT_VW,midT_VH,midT_CL,midT_CW,midT_CH,midT_ZL,midT_NSH,midT_TPDV,midT_PZA,midT_NSA,midT_TPAP,midT_lSMA,midT_sSMA,midT_JTA,midT_JV,tranT_VW,tranT_VH,tranT_CL,tranT_CW,tranT_CH,tranT_ZL,tranT_NSH,tranT_TPDV,tranT_PZA,tranT_NSA,tranT_lSMA,tranT_sSMA,tranT_JTA,tranT_JV,lastT_VW,lastT_VH,lastT_CL,lastT_CW,lastT_CH,lastT_ZL,lastT_NSH,lastT_PZA,lastT_NSA,lastT_lSMA,lastT_sSMA,lastT_JTA,lastT_JV,L1_VW,L1_VH,L1_CL,L1_CW,L1_CH,L1_ZL,L1_LW,L1_NSH,L1_TPDV,L1_PZA,L1_NSA,L1_TPAP,L1_lSMA,L1_sSMA,L1_JTA,L1_JV,midL_VW,midL_VH,midL_CL,midL_CW,midL_CH,midL_ZL,midL_LW,midL_NSH,midL_TPDV,midL_PZA,midL_NSA,midL_TPAP,midL_lSMA,midL_sSMA,midL_JTA,midL_JV,lastL_VW,lastL_VH,lastL_CL,lastL_CW,lastL_CH,lastL_ZL,lastL_LW,lastL_NSH,lastL_TPDV,lastL_PZA,lastL_NSA,lastL_TPAP,lastL_lSMA,lastL_sSMA,lastL_JTA,lastL_JV,sacral_L,sacral_H,sacral_W,scap_L,scap_W,hum_L,hum_D,hum_prox,hum_dist,ul_L,ul_D,ul_OL,rad_L,rad_D,MC3L,MC3W,pel_L,fem_L,fem_D,fem_EB,fem_GT,tib_L,tib_D,tib_prox,tib_dist,fib_L,cal_L,MT3L,MT3D
01Nandiniidae,Nandinia_binotata,7-13-7-3,M,AMNH239582,,14.86259595,92.91,13.29,55.77,38.45,21.74,24.18,27.5,28.35,42.73,11.69,6.65,2.81,21.38,6.92,27.35,34.2,62.9,46.68,22.11,8.74,5.86,3.82,20.48,14.19,10,7.17,6.36,15,12.05,7.83,54.469,117.047,117.099,122.995,1841.21,1448.71,207.047,62.953,23.37,20.66,9.3,7.24,6.12,14.08,12.86,14.54,44.215,102.886,74.77,107.243,1824.14,1303.41,192.886,77.114,23.56,26.02,8.48,8.38,4.21,12.02,11.18,21.81,47.443,102.425,112.199,77.797,1945.83,491.11,192.425,77.575,18.25,21.12,9.41,9.76,4.44,12.71,16.68,40.601,44.923,134.502,49.653,3242.07,670.95,134.923,135.077,16.43,13.73,10.23,8.26,4.54,13.26,9.19,45.275,44.053,140.337,2009.49,607.07,134.053,135.947,13.07,14.77,12.43,8.69,5.02,19.12,9.75,54.878,59.494,2587.34,863.42,144.878,125.122,13.98,14.44,12.99,8.61,5.11,18.93,6.96,9.33,94.971,49.436,57.559,58.992,2561.65,902.31,139.436,130.564,21.34,18.51,16.29,9.28,5.42,22.1,7.67,13.09,83.326,49.063,54.006,36.06,3401.99,1160.47,139.063,130.937,31.57,20.31,14.23,11.34,5.62,21.18,7.73,14.69,74.163,73.736,58.9,35.674,6436.73,1580.93,163.736,106.264,24.63,16.97,26.42,47.37,29.05,73.34,5.6,13.1,16.87,77.51,6.22,9.4,59.8,5.58,21.49,2.44,70.45,83.28,7.1,16.01,7.35,82.69,5.19,15.51,10.05,80.21,23.5,30.38,3.18
01Nandiniidae,Nandinia_binotata,7-13-7-3,M,FMNH161266,,16.24019871,97.93,12.94,59.27,40.66,22.16,26.96,30.57,31.66,46.76,10.88,7.27,3.04,22.96,9.02,30.85,35.95,65.44,51.13,25.34,10.87,6.66,4.27,25.81,15.4,9.74,8.52,5.78,15.32,14.92,9.62,55.835,117.646,111.553,102.5,2807.61,1292.15,207.646,62.354,27.8,17.6,9.55,8.59,7.11,14.58,15.58,10.49,43.261,116.721,80.233,104.6,3539.48,2424.89,206.721,63.279,26.57,29.95,8.78,9.55,5.15,12.89,12.26,24.8,37.647,103.09,106.633,68.5,3522.96,1024.51,193.09,76.91,18.44,24.06,9.92,9.99,4.99,14.1,19.07,23.148,61.791,123.594,73,3907.39,974.89,151.791,118.209,18,18.74,10.84,9.33,5.2,13.41,13.54,41.387,47.81,125.991,3316.94,1030.34,137.81,132.19,15.4,15.62,12.74,10,6.16,18.99,9.46,56.938,62.678,4838.05,1835.83,146.938,123.062,16.73,15.27,14.87,10.29,6.9,19.98,9.07,8.37,86.857,59.098,56.31,47,5904.53,2654.93,149.098,120.902,23.39,19.27,17.06,10.88,6.59,23.43,9.52,12.68,77.952,57.234,46.783,32.5,6665.95,2445.54,147.234,122.766,30.78,22.63,16.57,12.69,6.7,21.64,9.54,15.93,66.993,73.175,68,36.2,10753.49,2997.62,163.175,106.825,26.57,21.21,27.98,53.37,34.64,80.69,5.9,14.46,19.73,78.21,6.57,11.83,58.28,4.82,20.78,2.35,81.06,86.23,7.2,16.28,17.25,85.51,16.82,6.55,10.9,81.71,22.12,29.27,2.93
01Nandiniidae,Nandinia_binotata,7-13-7-3,M,FMNH224514,,16.88429687,98.89,14.35,62.59,42.38,23.62,28.58,36.48,31.61,46.22,12,6.34,2.78,23.01,7.45,32.34,35.96,65.79,51.97,23.09,9.13,6.64,3.99,24.53,17.8,10.48,8.72,6.67,16.42,15.56,11.13,49.837,114.047,98.085,118.5,3473.48,2032.28,204.047,65.953,27.03,22.52,9.88,9.08,6.94,16.14,15.09,15.58,41.354,108.441,70.359,105.5,4080.44,2383.71,198.441,71.559,25.87,29.71,9.79,10.53,5.25,14.28,12.05,24.46,35.838,101.25,107.525,66.9,4814.31,1196.73,191.25,78.75,21.35,23.25,10.24,11.76,5.08,15.34,18.17,27.295,51.415,132.701,78.8,6488.97,1210.84,141.415,128.585,20.12,15.5,11.11,10.17,6.05,14.63,9.45,44.666,58.141,137.148,4998.14,1768.79,148.141,121.859,15.51,17.62,13.64,11.61,6.92,20.02,10.7,53.427,59.093,8505.36,3021.62,143.427,126.573,17.55,18.36,14.9,10.89,6.89,21.59,9.36,11.47,77.174,51.377,55.325,45,6988.64,2797.53,141.377,128.623,22.44,22.21,19.03,11.71,6.96,24.33,9.65,15.25,68.504,55.377,57.139,31.5,8777.48,3100.81,145.377,124.623,29.69,23.81,16.13,13.46,7.22,22.24,9.82,16.59,59.944,84.369,71.527,38.8,13828.09,3978.75,174.369,95.631,29.91,19.62,28.36,53.15,33.48,82.42,6.43,15.3,21.29,82.31,7.9,12.07,61.76,5.7,19.47,2.46,75.45,87.71,7.72,17.13,17.76,88.03,5.72,17.89,10.97,84.99,22.38,28.15,2.99
03Felidae,Acinonyx_jubatus,7-13-7-3,M,AMNH119654,,39.91429898,165.05,55.82,129.44,73.37,44.65,73.31,59.94,70.82,84.5,25.16,20.97,7.63,39.1,13.82,56.78,67.88,115.58,113.82,52.77,18.94,18.94,7.05,43.4,35.25,25.42,19.04,15.19,37.29,27.5,20.06,67.802,98.963,83.0004,109.983,82347.13,52411.93,188.963,81.037,46.7,37.67,20.87,16.45,18.28,35.01,29.64,19.39,57.073,96.342,64.761,104.588,63909.26,78919.51,186.342,83.658,53.7,63.84,21.18,25.24,13.44,32.38,21.2,50.4,48.358,105.746,97.082,68.651,169729.45,48125.7,195.746,74.254,44.34,62.14,22.15,29.79,16,31.72,46.14,54.737,52.445,136.811,61.718,332216.63,95834.16,142.445,127.555,45.92,39.37,25.43,23.79,17.17,35.4,22.2,64.255,50.009,134.032,181569.75,94579.11,140.009,129.991,28.44,55.8,33.35,26.34,18.41,52.96,37.39,54.263,74.094,264235.39,129082.4,144.263,125.737,64.25,59.47,36.99,26.19,19.31,55.1,17.34,40.16,97.467,57.315,74.244,42.121,272444.88,148105.85,147.315,122.685,73.27,64.97,44.92,28.3,20.05,62.72,20.15,44.92,116.359,53.935,87.801,37,356913.98,179151.09,143.935,126.065,74.6,59.2,39.8,32.23,19.38,54.76,25.45,39.82,57.413,110.216,80.631,35.85,509594.31,184251.7,200.216,69.784,72.71,34.3,59.06,165.64,96.58,225,16.31,41.73,39.9,275,11.78,27.78,225,18.91,86.04,7.95,200.61,251,18.76,48.24,24.77,259,19.66,49.52,32.93,253,70.44,113.14,12.75
03Felidae,Caracal_aurata,7-13-7-3,M,AMNH51994,,27.18063687,134.25,26.77,93.48,58.08,40.78,48.08,46.64,52.23,67.71,17.84,14.41,5.13,27.07,13.9,44.7,48.7,88.15,82,39.91,11.44,11.44,5.44,38.12,27.25,16.7,13.14,9.24,25.56,26.13,18.01,54.842,107.564,92.618,111.032,16464.48,8141.44,197.564,72.436,39.09,36.44,22.43,11.77,10.07,22.68,25.09,26.37,44.917,111.912,70.068,101.019,12895.81,9439.63,201.912,68.088,36.98,54.78,15.65,15.69,8.5,23.45,18.91,46.28,43.078,92.163,94.513,63.459,25785.62,7567.8,182.163,87.837,31.66,47.81,16.63,18.98,9.27,23.22,38.54,34.168,42.545,128.425,67.876,49780.38,11874.77,132.545,137.455,29.91,32.53,17.68,16,8.5,14.23,24.03,34.772,55.784,133.328,27344.42,7717.32,145.784,124.216,25.6,29.6,19.73,16.36,9.54,31.58,20.06,54.277,58.003,32808.63,11156.25,144.277,125.723,29.96,29.46,24.31,16.87,11.24,33.14,13.29,18.22,100.741,51.752,59.164,58.287,42383.95,18814.99,141.752,128.248,40.14,37.64,30.65,17.8,10.15,39.02,14.39,27.49,106.828,53.801,60.406,19.758,44958.93,14618.67,143.801,126.199,50.5,37.03,30,18.9,11.05,37.57,17.83,25.98,73.609,103.159,72.689,29.003,58591.9,20028.04,193.159,76.841,45.29,26.44,41.55,99.7,63.62,137.78,11.71,26.82,30.97,148.47,11.87,18.94,116.84,10.35,49.9,5.4,126.73,161.93,12.91,29.19,16.36,152.52,11.6,30.87,21.53,145.6,40.68,67.65,7.19
03Felidae,Caracal_caracal,7-13-7-3,M,USNM520686,,25.71867254,123.85,29.85,97.32,54.21,36.86,44.07,53.95,49.55,61.24,14.99,14.16,4.89,28.26,19.25,40.97,45.63,82.73,80.67,37.66,12.15,12.15,5.36,32.04,24.66,14.88,12.47,9.89,24.29,22.05,14.77,62.482,108.741,93.177,118.895,15062.1,9474.26,198.741,71.259,33.48,31.53,11.02,10.75,9.97,20.54,21.35,21.56,41.697,114.912,67.018,107.049,9727.71,8367.27,204.912,65.088,32.15,47.61,14.06,14.15,7.34,21.02,15.81,40.27,47.7,96.981,106.818,67.817,16332.6,4394.75,186.981,83.019,25.68,39.1,15.06,16.76,7.94,21.72,31.16,39.846,49.666,142.552,61.952,29358.4,6589.09,139.666,130.334,24.34,28.11,17.88,16.41,8.84,20.35,19.27,49.941,44.586,137.056,30680.89,8903.39,134.586,135.414,20.62,27.93,22.78,16.9,10.17,31.78,17.76,49.801,55.507,38554.13,13961.74,139.801,130.199,29.95,28.24,24.74,16.67,10.79,35,11.88,17.45,102.812,59.527,54.574,35,39257.09,16447.12,149.527,120.473,40.47,39.7,29.2,17.89,11.14,37.93,14.43,28.56,91.986,66.396,54.971,19.5,50096.35,19424.77,156.396,113.604,44.72,34.38,24.46,18.47,11.56,33.01,15.18,22.82,37.137,120.125,69.066,24,57206.9,22409.4,210.125,59.875,42.67,23.86,35.48,86.64,60.64,141.66,10.11,28.43,25.44,158.15,8.7,16.64,126.22,10.71,51.26,5.11,117.66,165,12.53,29.42,18.16,161,9.15,30.95,20.3,151,38.54,74.23,6.35
03Felidae,Felis_chaus,7-13-7-3,M,AMNH238649,,22.68283876,108.36,36.19,83.62,45.98,35.67,41.82,38.78,47,57.28,13.97,12.04,3.93,22.18,8.34,35,39.91,71.23,71.07,39.22,9.89,9.89,3.67,28.28,21.92,15.2,11.1,7.81,22.25,16.13,14.11,65.443,93.299,84.913,119.218,8388.99,4153.04,183.299,86.701,30.39,31.13,12.81,10.61,8.53,20.17,18.86,22.6,45.56,110.729,73.853,105.327,8001.75,5171.93,200.729,69.271,30.41,44.72,13.04,12.53,7.38,19.65,14.11,37.34,50.424,92.574,101.663,70.565,11402.48,3955.58,182.574,87.426,23.7,36.75,14.26,14.06,8.29,20.81,28.46,38.429,47.353,124.628,53.326,18096.74,6291.28,137.353,132.647,21.79,23.19,15.13,13.76,9.83,15.19,13.36,52.898,36.85,126.416,20114.01,10265.23,126.85,143.15,18.24,23.05,19.74,15.15,11.26,27.9,11.79,62.133,50.194,30751.49,16987.04,152.133,117.867,28.17,24.97,22.09,15.4,10.02,29.85,10.8,14.95,90.545,61.693,48.145,40.964,28742.18,12167.85,151.693,118.307,37.82,32.84,26.68,16.23,11,35.92,12.18,21.84,90.501,67.951,54.595,25.393,36935,16966.27,157.951,112.049,42.05,31.12,19.44,15.86,11.05,27.23,13.36,20.07,59.702,109.385,66.892,26.853,34622.76,16806.6,199.385,70.615,31.1,18.46,31.63,92.33,54.39,126.98,8.7,20.39,22.75,153,7.8,13.86,127.41,7.98,47.05,3.86,104.58,141.71,9.97,22.65,12.54,148.77,9.03,25.9,18.24,144.96,36.27,66.28,5.56
03Felidae,Felis_chaus,7-13-7-3,M,FMNH97867,,24.48369124,115.48,32.8,81.21,47.78,35.95,43.11,44.27,48.52,58.41,15.05,13.59,4.32,22.96,12.06,37.63,42.82,76,69.45,41.5,10,10,3.8,31.71,22.81,16.2,12.43,8.03,25.28,19.08,14.78,61.273,103.128,101.339,103.745,12112.08,5054.84,193.128,76.872,33.94,32.17,12.25,11.45,8.73,20.18,21.04,23.44,41.713,112.116,84.871,87.542,10292.49,5983.26,202.116,67.884,31.45,48.89,12.78,13.72,7.02,21.31,14.18,41.87,47.447,83.367,102.467,58.671,14239.32,3727.82,173.367,96.633,27.9,39.3,14.11,16.28,8.05,20.59,31.25,28.88,60.721,130.861,66.326,27280.29,6670.09,150.721,119.279,24.87,23.73,16.71,14.11,8.51,20.48,15.22,48.03,43.44,137.129,18775.89,6829.76,133.44,136.56,21.99,25.53,20.42,15.31,8.84,28.16,16.69,54.845,52.16,24915.39,8306.57,144.845,125.155,29.93,25.92,22.5,15.63,9.34,31.73,10.61,16.58,96.722,53.132,47.598,41.112,28010.04,10002.06,143.132,126.868,38.34,35.03,28.57,17.55,10.33,39.76,12.51,24.7,93.827,57.929,54.456,23.239,43855.25,15193.85,147.929,122.071,48.75,35.51,25.6,18.82,10.51,35.28,14.9,25,52.085,111.156,53.253,26.914,55023.91,17160.01,201.156,68.844,35.74,20.84,39.23,100.9,59.35,138.88,9.06,20.31,26.07,165.22,10.35,16.08,136.17,8.16,49.52,4.5,115.57,161.07,10.78,26.27,20.98,165.47,10.66,28.13,18.1,153.9,41.56,72.58,6.6
03Felidae,Felis_lybica,7-13-6-3,M,MVZ231507,,20.5734759,95.95,31.79,74.19,46.76,37.31,44.11,37.58,41.96,47.29,12.38,11.07,3.64,21.91,10.14,32.25,37.3,65.24,60.41,30.98,8.46,8.46,3.45,26.75,21.91,12.46,11.42,8,21.04,17.41,13.91,58.418,101.866,99.93,112.052,9357.9,4592.25,191.866,78.134,28.18,26.81,8.71,9.67,6.87,18.26,18.11,19.94,44.311,112.748,82.296,94.643,4878.95,2462.56,202.748,67.252,26.11,38.98,10.57,11.87,4.69,17.34,13.08,34.29,47.255,81.936,101.949,58.895,6160.48,961.74,171.936,98.064,21.34,31.23,11.16,12.46,5.67,17.5,25.56,35.174,56.378,137.321,50.468,8614.44,1783.84,146.378,123.622,19.56,21.24,14.44,12.71,5.91,18.35,15.33,51.647,34.679,112.635,9530.46,2060.62,124.679,145.321,17.87,20.5,17.38,12.06,7.45,26.03,13.05,60.919,63.341,10263.32,3916.57,150.919,119.081,25.46,21.16,18.81,12.79,7.22,27.07,10.04,13.94,82.606,67.191,62.225,41.573,11864.21,3780.7,157.191,112.809,34.99,28.89,22.89,12.95,7.63,30.04,10.58,21.26,92.507,60.793,63.088,30.932,13014.39,4517.87,150.793,119.207,39.93,27.22,21.89,18.29,9.39,28.81,13.32,17.83,87.344,73.712,66.257,30.743,45122.86,11893.24,163.712,106.288,29.3,22.79,33.06,80.45,49.66,112.56,8.16,18.61,20.48,133.97,7.21,14.5,110.83,7.41,36.54,3.97,97.35,128.72,10.93,20.51,9.64,131.25,8.34,21.89,15.89,128.13,29.15,58.13,5.19
03Felidae,Felis_silvestris,7-13-7-3,M,NHMUK1953.6.11.1,,20.34227838,94.82,35.81,71.61,43.61,30.2,39.98,40.54,42.4,47.28,12.41,10.77,3.53,19.16,7.84,27.7,33.41,61.04,60.86,31.73,8.11,8.11,3.72,26.05,19.47,11.82,10.9,6.67,18.09,18.44,12.8,58.039,92.874,108.862,110.6,6784.15,2540.35,182.874,87.126,27.1,23.73,9.22,8.91,7.43,16.89,17.78,16.3,47.181,108.176,72.848,104.6,4127.73,2870.34,198.176,71.824,27.09,37.68,10.96,11.69,6.19,16.97,13.12,31.49,44.031,95.332,108.342,64.1,7766.48,2177.59,185.332,84.668,21.96,31.8,11.29,14.22,6.49,15.7,25.31,41.608,44.598,127.157,65.75,14656.6,3052.98,134.598,135.402,20.43,21.78,13.75,12.71,7.06,16.38,14.72,41.025,43.47,137.777,11384.95,3512.77,133.47,136.53,17.81,21.05,17.08,12.59,7.18,25.4,13.87,47.717,56.002,11253.6,3660.07,137.717,132.283,20.14,20.5,18.61,13.17,7.47,27.53,10.26,13.03,91.739,55.931,50.662,60.404,13401.94,4311.59,145.931,124.069,32.54,27.63,23.81,14.2,7.98,31.67,10.84,19.65,92.198,53.902,52.248,25.5,17945.59,5667.44,143.902,126.098,39.17,26.17,21.67,16.1,9.16,28.26,12.07,17.01,59.901,105.318,67.131,29.9,30023.62,9718.57,195.318,74.682,31.39,20.14,32.06,83.46,50.2,117.2,8.49,19.11,22.34,136.67,7,12.83,114.74,6.83,40.19,3.28,97.74,131.57,9.2,22.52,16.76,137.92,8.85,23.73,16.63,134.41,32.51,58.78,5.33
